Year,1_5,5_15,15_45,45_65,65_80,80_
1940,3.4,1.1,2.9,11.5,56.7,200.2
1941,3.8,1.2,2.6,11.2,57.4,211.7
1942,3.8,1.3,2.7,10.7,52.3,191.8
1943,5.4,1.9,3.3,10.7,51.1,189.4
1944,6.3,2.7,4.6,12.3,54.7,205.0
1945,7.5,2.6,7.0,15.8,67.4,218.2
1946,4.6,1.2,2.1,9.0,43.5,147.4
1947,2.5,0.9,1.9,8.7,44.7,152.1
1948,2.0,0.6,1.6,8.2,42.0,140.9
1949,1.9,0.6,1.6,8.7,48.1,170.2
1950,2.5,0.6,1.2,7.6,41.9,152.9
1951,2.5,0.6,1.2,7.6,41.2,155.6
1952,2.2,0.6,1.1,7.5,40.1,148.3
1953,2.4,0.7,1.2,7.7,41.4,151.6
1954,2.0,0.5,1.1,7.6,40.0,149.1
1955,1.8,0.5,1.0,7.5,40.4,152.2
1956,1.8,0.5,1.0,7.5,41.1,158.5
1957,1.8,0.5,1.0,7.3,39.3,147.0
1958,1.8,0.4,1.0,7.3,38.7,148.4
1959,1.9,0.5,1.0,7.3,38.0,145.7
1960,1.6,0.4,1.0,7.4,38.0,146.0
1961,1.4,0.4,1.0,7.4,37.4,140.4
1962,1.5,0.4,1.0,7.7,38.4,150.1
1963,1.4,0.4,1.0,7.6,39.1,148.8
1964,1.3,0.5,1.0,7.7,37.5,134.0
1965,1.2,0.4,1.0,7.8,38.5,140.1
1966,1.3,0.4,1.0,7.8,38.2,141.7
1967,1.2,0.4,1.0,7.8,37.6,132.7
1968,1.2,0.4,1.0,7.8,38.2,142.4
1969,1.2,0.4,1.0,8.0,38.8,139.5
1970,1.1,0.4,1.0,8.1,38.8,139.2
1971,1.1,0.4,1.0,7.8,38.3,140.1
1972,1.0,0.4,1.0,7.9,38.9,142.4
1973,1.0,0.4,1.0,7.6,37.0,136.0
1974,1.0,0.3,0.9,7.4,36.2,130.5
1975,0.9,0.3,0.9,7.5,36.9,135.2
1976,0.8,0.3,0.9,7.4,36.7,131.9
1977,0.8,0.3,0.9,7.2,34.9,120.3
1978,0.9,0.3,0.9,7.2,35.2,125.6
1979,0.8,0.3,0.8,7.0,34.3,119.6
1980,0.8,0.3,0.8,6.9,34.1,119.6
1981,0.8,0.2,0.8,6.8,33.9,119.4
1982,0.8,0.2,0.8,6.9,33.4,119.3
1983,0.8,0.2,0.8,6.7,33.1,119.1
1984,0.8,0.2,0.8,6.7,33.2,118.7
1985,0.7,0.2,0.8,6.6,33.0,120.6
1986,0.8,0.2,0.8,6.7,32.7,121.8
1987,0.7,0.2,0.8,6.4,31.4,115.4
1988,0.6,0.2,0.8,6.1,31.2,117.0
1989,0.6,0.2,0.8,6.3,31.2,121.0
1990,0.6,0.2,0.8,6.0,30.8,120.0
1991,0.6,0.2,0.8,5.8,30.6,119.3
1992,0.5,0.2,0.8,5.6,30.0,117.7
1993,0.5,0.2,0.8,5.7,30.9,125.8
1994,0.5,0.2,0.8,5.5,29.7,119.0
1995,0.5,0.2,0.8,5.3,29.8,120.4
1996,0.5,0.2,0.8,5.3,29.9,121.0
1997,0.4,0.1,0.8,5.1,28.9,119.3
1998,0.4,0.1,0.7,5.1,28.9,120.4
1999,0.4,0.1,0.8,5.1,29.1,122.3
2000,0.4,0.1,0.7,5.1,28.3,120.5
2001,0.4,0.1,0.7,5.0,27.8,118.0
2002,0.4,0.1,0.7,5.0,27.5,118.7
2003,0.3,0.2,0.7,4.9,26.5,117.4
2004,0.3,0.1,0.6,4.8,25.0,110.5
2005,0.3,0.1,0.6,4.6,24.3,109.8
2006,0.3,0.1,0.6,4.5,23.3,108.2
2007,0.3,0.1,0.6,4.4,22.4,104.3
2008,0.3,0.1,0.6,4.4,21.6,105.3
2009,0.2,0.1,0.5,4.3,20.9,102.2
2010,0.3,0.1,0.5,4.3,20.8,101.4
2011,0.2,0.1,0.5,4.1,19.6,99.7
2012,0.3,0.1,0.5,4.1,19.3,102.6
2013,0.2,0.1,0.5,4.0,18.7,101.7
2014,0.2,0.1,0.5,3.8,18.0,98.0
2015,0.2,0.1,0.5,3.8,18.5,103.0
2016,0.2,0.1,0.5,3.8,18.3,102.2
2017,NA,NA,NA,NA,NA,NA
