Year,0_20,20_45,45_65,65_80,80_
1940,3316,3303,1602,538,75
1941,3317,3351,1631,550,75
1942,3318,3392,1661,562,76
1943,3322,3419,1683,576,76
1944,3334,3441,1694,581,78
1945,3369,3462,1715,593,81
1946,3390,3495,1741,597,81
1947,3522,3521,1796,618,86
1948,3615,3541,1833,636,91
1949,3682,3576,1875,654,97
1950,3742,3597,1916,671,100
1951,3806,3639,1961,690,104
1952,3854,3654,2002,711,108
1953,3895,3656,2042,730,114
1954,3945,3658,2081,747,119
1955,4001,3667,2123,765,125
1956,4064,3684,2162,782,130
1957,4124,3703,2193,801,136
1958,4188,3713,2234,818,142
1959,4270,3742,2275,843,148
1960,4331,3756,2311,864,154
1961,4387,3783,2338,888,161
1962,4461,3816,2364,913,168
1963,4532,3862,2388,935,173
1964,4584,3921,2404,955,177
1965,4631,3993,2425,977,186
1966,4686,4034,2468,996,193
1967,4660,4154,2503,1019,200
1968,4640,4237,2531,1044,209
1969,4638,4316,2564,1066,215
1970,4658,4400,2589,1089,222
1971,4679,4490,2611,1112,228
1972,4695,4574,2633,1133,235
1973,4691,4650,2651,1155,240
1974,4671,4722,2672,1177,249
1975,4646,4801,2692,1201,258
1976,4624,4895,2724,1222,268
1977,4579,4973,2748,1236,278
1978,4528,5053,2767,1259,290
1979,4480,5144,2782,1281,300
1980,4432,5247,2797,1303,312
1981,4396,5350,2820,1319,323
1982,4331,5444,2843,1332,336
1983,4253,5531,2867,1343,345
1984,4168,5617,2902,1351,358
1985,4085,5704,2935,1359,371
1986,4019,5788,2954,1387,382
1987,3968,5874,2969,1412,392
1988,3922,5958,2994,1434,406
1989,3875,6025,3029,1459,418
1990,3822,6088,3077,1478,428
1991,3786,6173,3118,1496,437
1992,3762,6175,3232,1515,444
1993,3746,6169,3338,1529,456
1994,3751,6157,3425,1544,464
1995,3760,6128,3503,1558,476
1996,3772,6091,3570,1579,481
1997,3787,6059,3636,1596,487
1998,3809,6026,3710,1617,493
1999,3840,6003,3786,1635,496
2000,3873,5976,3863,1652,500
2001,3908,5962,3942,1658,517
2002,3941,5943,4023,1667,532
2003,3969,5900,4103,1676,544
2004,3988,5842,4177,1693,558
2005,3988,5776,4253,1715,574
2006,3976,5705,4324,1743,587
2007,3957,5629,4404,1768,601
2008,3940,5570,4480,1799,615
2009,3934,5529,4551,1841,631
2010,3928,5490,4619,1890,648
2011,3914,5459,4689,1927,668
2012,3895,5430,4689,2030,686
2013,3871,5391,4694,2122,703
2014,3846,5350,4714,2202,717
2015,3828,5311,4754,2273,735
2016,3818,5284,4792,2337,749
2017,3817,5281,4824,2395,764
